,Date,Wind_m/s,Precipitation_mm,Wind_m/s1,Precipitation_mm1,Wind_m/s2,Precipitation_mm2,Wind_m/s3,Precipitation_mm3,Wind_m/s4,Precipitation_mm4,Wind_m/s5,Precipitation_mm5,Target: Mean_temp
0,2017.07.06,5.6,0.0,4.2,0.0,5.3,0.0,6.7,0.0,6.9,0.0,6.1,14.0,22.5
1,2017.07.07,4.7,0.0,5.6,0.0,4.2,0.0,5.3,0.0,6.7,0.0,6.9,0.0,24.0
2,2017.07.08,6.7,0.0,4.7,0.0,5.6,0.0,4.2,0.0,5.3,0.0,6.7,0.0,24.0
3,2017.07.09,2.2,0.0,6.7,0.0,4.7,0.0,5.6,0.0,4.2,0.0,5.3,0.0,28.0
4,2017.07.10,6.4,21.0,2.2,0.0,6.7,0.0,4.7,0.0,5.6,0.0,4.2,0.0,26.82
5,2017.07.11,3.7,0.4,6.4,21.0,2.2,0.0,6.7,0.0,4.7,0.0,5.6,0.0,25.845
6,2017.07.12,2.2,1.5,3.7,0.4,6.4,21.0,2.2,0.0,6.7,0.0,4.7,0.0,21.04
7,2017.07.13,7.0,1.0,2.2,1.5,3.7,0.4,6.4,21.0,2.2,0.0,6.7,0.0,19.55
8,2017.07.14,1.6,0.0,7.0,1.0,2.2,1.5,3.7,0.4,6.4,21.0,2.2,0.0,20.009999999999998
9,2017.07.15,5.2,2.4,1.6,0.0,7.0,1.0,2.2,1.5,3.7,0.4,6.4,21.0,19.895
10,2017.07.16,3.4,0.0,5.2,2.4,1.6,0.0,7.0,1.0,2.2,1.5,3.7,0.4,22.810000000000002
11,2017.07.17,1.5,0.0,3.4,0.0,5.2,2.4,1.6,0.0,7.0,1.0,2.2,1.5,25.36
12,2017.07.18,1.3,0.0,1.5,0.0,3.4,0.0,5.2,2.4,1.6,0.0,7.0,1.0,25.395
13,2017.07.19,2.3,0.0,1.3,0.0,1.5,0.0,3.4,0.0,5.2,2.4,1.6,0.0,26.740000000000002
14,2017.07.20,1.6,0.0,2.3,0.0,1.3,0.0,1.5,0.0,3.4,0.0,5.2,2.4,28.11
15,2017.07.21,4.0,0.0,1.6,0.0,2.3,0.0,1.3,0.0,1.5,0.0,3.4,0.0,27.865000000000002
